"Min,Max,Modal PriceAjmer(F&V) from 01-Jan-2014To20-Aug-2024 (Total-2279) (Total-2279)",,,,,
Sl no.,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
570,Garlic,8000,9000,8500,06-Feb-17
571,Garlic,2400,5000,3700,05-Mar-22
572,Garlic,5000,12000,9000,08-Jan-20
573,Garlic,2500,5000,4000,28-Jan-22
574,Garlic,1500,4000,3000,16-Oct-14
575,Garlic,600,1800,1200,25-Jan-19
576,Garlic,5500,8000,7500,29-Oct-16
577,Garlic,5000,13000,9000,26-Jul-23
578,Garlic,800,2000,1700,11-Oct-18
579,Garlic,5000,8000,7500,26-Aug-16
580,Garlic,1200,3500,2800,31-Oct-14
581,Garlic,2800,5000,3900,24-Apr-22
582,Garlic,1500,4500,3200,09-Mar-15
583,Garlic,6000,9500,8500,06-Jul-16
584,Garlic,500,2000,1250,05-Mar-19
585,Garlic,500,2000,1300,09-Mar-19
586,Garlic,1500,3000,2600,03-Jun-14
587,Garlic,2500,3500,3000,11-Apr-18
588,Garlic,1700,2200,2000,05-May-14
589,Garlic,1000,2800,2500,09-Jul-18
590,Garlic,500,1800,1500,07-Feb-19
591,Garlic,2000,5000,4000,16-Jul-15
592,Garlic,4000,10000,7000,03-Nov-20
593,Garlic,1500,4500,3600,28-Dec-17
594,Garlic,2000,4500,4100,18-Jul-17
595,Garlic,3500,8000,5800,08-Jul-19
596,Garlic,4000,7500,6000,17-May-20
597,Garlic,1200,3000,2600,06-Jan-15
598,Garlic,8000,10000,8500,29-Nov-16
599,Garlic,4200,10000,7100,19-Sep-20
600,Garlic,6000,13000,10000,03-Dec-23
601,Garlic,4000,9000,6500,28-Dec-20
602,Garlic,700,3000,1850,18-Oct-22
603,Garlic,2600,5200,4000,12-Apr-23
604,Garlic,7000,14000,10500,14-Sep-23
605,Garlic,5000,10000,7500,11-Mar-24
606,Garlic,4000,6000,5000,14-Oct-15
607,Garlic,1500,4500,3200,07-Jun-15
608,Garlic,4000,5000,4500,13-Mar-16
609,Garlic,3500,4500,3800,31-Mar-16
610,Garlic,5000,8000,7500,29-Aug-16
611,Garlic,3000,6000,4500,08-Jun-19
612,Garlic,4000,8000,6000,20-Jul-20
613,Garlic,1600,4500,3100,26-May-22
614,Garlic,600,1800,1400,26-Jan-19
615,Garlic,6500,15000,11000,14-May-24
616,Garlic,8000,18000,13000,08-Aug-24
617,Garlic,6000,9000,7000,09-Jul-16
618,Garlic,2500,4800,3800,26-Jan-22
619,Garlic,1500,3000,2500,06-Jun-14
620,Garlic,3200,5600,4400,26-Dec-21
621,Garlic,2800,6500,4700,10-May-23
622,Garlic,4000,8000,6500,12-Jan-16
623,Garlic,2500,5000,4000,13-Apr-17
624,Garlic,3000,5500,4300,12-May-19
625,Garlic,2500,5500,4000,01-May-22
626,Garlic,3000,5000,4500,16-Apr-16
627,Garlic,7000,14000,12000,07-Nov-23
628,Garlic,3000,6400,4700,18-Mar-21
629,Garlic,2000,4800,4200,05-Jul-17
630,Garlic,1600,4500,3400,15-Mar-15
631,Garlic,2000,4500,4000,12-Mar-18
632,Garlic,3000,5500,4300,14-Aug-15
633,Garlic,8000,10000,9000,14-Jan-17
634,Garlic,1500,4000,3000,19-Oct-14
635,Garlic,1200,2600,2200,21-Jul-18
636,Garlic,6000,15000,11000,14-Jun-24
637,Garlic,5000,9000,8000,23-Oct-16
638,Garlic,3600,6200,4900,18-Jun-20
639,Garlic,2000,4000,3500,08-Jan-14
640,Garlic,1500,5000,4000,06-Nov-17
641,Garlic,700,2000,1800,19-Oct-18
642,Garlic,4200,10800,7500,08-Nov-20
643,Garlic,6000,14000,10000,24-May-24
644,Garlic,4000,6000,5000,28-Feb-20
645,Garlic,2500,6000,4300,15-Mar-22
646,Garlic,4000,9000,6500,14-Dec-20
647,Garlic,3000,5000,4200,07-Feb-15
648,Garlic,1200,3000,2200,25-Dec-14
649,Garlic,8000,10000,9000,02-Dec-16
650,Garlic,8000,9500,8600,07-Feb-17
651,Garlic,4000,6000,5000,11-Jul-20
652,Garlic,2000,4500,4000,19-Jul-17
653,Garlic,9000,10000,9500,05-Feb-17
654,Garlic,4000,8000,7500,03-Jul-16
655,Garlic,8000,14000,11500,08-Sep-23
656,Garlic,700,2000,1400,03-Jan-23
657,Garlic,5000,13000,9800,03-Feb-20
658,Garlic,800,3200,2000,08-Mar-23
659,Garlic,3200,6000,4600,07-Jan-22
660,Garlic,1500,2600,2200,26-Jun-14
661,Garlic,1500,4500,3600,22-Sep-14
662,Garlic,5000,8500,6750,09-Jan-21
663,Garlic,2000,4500,3500,10-Jul-15
664,Garlic,4000,6000,5500,08-Feb-16
665,Garlic,8000,9000,8500,02-Feb-17
666,Garlic,2000,5000,4000,15-Apr-18
667,Garlic,8000,18000,13000,06-Aug-24
668,Garlic,2000,5000,4000,16-May-17
669,Garlic,1000,2400,2100,02-Jun-18
670,Garlic,3500,6000,5000,09-Jun-19
671,Garlic,1600,4200,3000,23-Jan-23
672,Garlic,500,2000,1500,14-Feb-19
673,Garlic,5500,12500,9500,04-Feb-20
674,Garlic,6500,14500,11000,12-Jun-24
675,Garlic,1000,3000,2600,21-Apr-19
676,Garlic,2000,4800,3400,12-Jul-22
677,Garlic,1000,2600,2200,03-Jul-18
678,Garlic,4000,6800,5400,30-Nov-21
679,Garlic,2500,4500,3500,25-Jul-22
680,Garlic,2000,4000,3000,31-Jan-23
681,Garlic,4500,9000,6800,09-Aug-20
682,Garlic,800,2600,1700,31-Aug-22
683,Garlic,1000,3500,2400,22-Apr-19
684,Garlic,3500,7000,5300,08-Aug-19
685,Garlic,5000,9000,8500,15-Nov-16
686,Garlic,2000,4500,4100,15-Mar-18
687,Garlic,3000,6000,4500,02-Jun-19
688,Garlic,500,1600,1300,25-Feb-19
689,Garlic,5000,10000,7500,21-Nov-16
690,Garlic,2500,5000,3800,14-May-19
691,Garlic,3000,6500,5000,21-Jun-19
692,Garlic,2400,5000,3700,02-May-22
693,Garlic,1000,4000,3500,14-Oct-17
694,Garlic,5000,9000,8500,05-Oct-16
695,Garlic,3500,5000,4900,17-Apr-16
696,Garlic,1500,3800,2700,17-Jul-22
697,Garlic,7000,15000,12000,08-Jun-24
698,Garlic,1500,5500,4000,14-Jun-15
699,Garlic,4000,7500,6500,10-Sep-15
700,Garlic,3000,4800,4000,28-Mar-17
701,Garlic,1000,3000,2000,14-Jul-22
702,Garlic,3000,5500,4300,17-Jan-22
703,Garlic,1500,5000,3600,23-Jun-15
704,Garlic,4000,10500,7250,23-Oct-20
705,Garlic,5000,10000,7500,21-Sep-20
706,Garlic,3500,4500,4000,03-Oct-15
707,Garlic,3200,6800,5000,23-Mar-21
708,Garlic,4000,6200,5100,14-Aug-21
709,Garlic,2000,4000,3000,05-Jun-22
710,Garlic,700,2200,1600,09-Feb-19
711,Garlic,800,3000,1900,26-Feb-23
712,Garlic,2000,4500,3800,28-Aug-14
713,Garlic,6000,14000,12000,25-Sep-23
714,Garlic,700,2200,1600,13-Feb-14
715,Garlic,3000,5000,4000,16-Jul-19
716,Garlic,1000,2500,1800,08-Feb-14
717,Garlic,2800,5500,4300,05-Aug-15
718,Garlic,2800,6500,4650,12-Mar-21
719,Garlic,1500,2800,2200,12-May-14
720,Garlic,3000,4000,3800,03-May-16
721,Garlic,1500,2500,2000,22-Apr-14
722,Garlic,2500,4500,4000,30-Mar-18
723,Garlic,4500,8500,6500,29-Jan-21
724,Garlic,5000,11000,9000,23-Dec-15
725,Garlic,2000,4500,3600,07-Sep-14
726,Garlic,500,1800,1300,22-Feb-19
727,Garlic,1400,3600,2800,04-Sep-17
728,Garlic,1500,4500,3500,27-Dec-17
729,Garlic,4000,7000,6000,01-Mar-17
730,Garlic,700,2000,1600,12-Nov-18
731,Garlic,1400,4000,2700,14-Jan-23
732,Garlic,800,2600,2000,23-Feb-23
733,Garlic,5500,7500,6500,07-Dec-23
734,Garlic,2000,5000,4800,04-Jun-17
735,Garlic,1500,4500,4000,11-Dec-17
736,Garlic,3000,7000,5200,23-Aug-19
737,Garlic,8000,18000,13000,26-Jul-24
738,Garlic,2000,6500,5200,30-May-17
739,Garlic,800,2000,1800,23-Jan-19
740,Garlic,3200,5600,4400,08-Apr-21
741,Garlic,7000,14000,11000,29-May-24
742,Garlic,700,2000,1600,09-Nov-18
743,Garlic,4500,10000,7250,25-Oct-20
744,Garlic,3000,6200,4600,19-Apr-21
745,Garlic,1100,2800,2500,11-Jul-18
746,Garlic,2000,4200,3100,19-Jul-22
747,Garlic,800,2400,1600,07-Jan-23
748,Garlic,7000,16000,12000,29-Dec-23
749,Garlic,4500,6500,5500,20-Jun-20
750,Garlic,700,2000,1500,31-Oct-18
751,Garlic,2000,5000,3500,03-May-22
752,Garlic,1000,2400,2200,20-Feb-14
753,Garlic,1500,3000,2300,27-Dec-14
754,Garlic,1200,3000,2600,03-Jan-15
755,Garlic,600,2200,1500,10-Feb-14
756,Garlic,4000,6000,5600,06-Oct-15
757,Garlic,5000,7500,7000,27-Sep-16
758,Garlic,1200,3500,2800,03-Oct-17
759,Garlic,1000,4000,2500,16-Dec-22
760,Garlic,2000,5000,4000,11-May-17
761,Garlic,5500,14000,10500,24-Jul-23
762,Garlic,2500,5000,4200,05-Apr-18
763,Garlic,1800,2300,2100,11-Apr-14
764,Garlic,1500,4500,3400,30-Jun-15
765,Garlic,8000,18000,13000,18-Jul-24
766,Garlic,700,2200,1450,01-Jan-23
767,Garlic,8000,10000,9000,10-Dec-16
768,Garlic,4000,7000,5500,29-Apr-20
769,Garlic,3500,7500,5500,09-Feb-21
770,Garlic,700,2000,1500,13-Oct-18
771,Garlic,4500,10000,7250,17-Sep-20
772,Garlic,1200,3000,2400,04-Jan-15
773,Garlic,1200,2600,2000,01-Jul-18
774,Garlic,800,3000,1900,15-Feb-23
775,Garlic,1200,2500,2000,19-Jul-18
776,Garlic,3500,6500,5000,06-Aug-19
777,Garlic,3200,6500,4850,13-May-23
778,Garlic,1500,2500,1900,08-May-14
779,Garlic,1500,4500,3800,07-Oct-14
780,Garlic,2500,5000,4000,30-Jan-15
781,Garlic,2000,4000,3800,10-Jul-17
782,Garlic,2000,4500,4200,20-Jul-17
783,Garlic,2000,5000,3500,19-Apr-18
784,Garlic,1500,4000,3650,17-Aug-17
785,Garlic,1000,2600,2000,22-Jul-18
786,Garlic,5000,7500,7000,28-Sep-16
787,Garlic,4000,7000,6500,07-Nov-15
788,Garlic,2000,4500,4000,08-Jul-17
789,Garlic,4000,8000,7500,16-Jul-16
790,Garlic,4000,9000,8000,21-Feb-20
791,Garlic,4500,10000,7250,07-Sep-20
792,Garlic,800,2600,1700,18-Feb-23
793,Garlic,8000,14000,11000,27-Oct-23
794,Garlic,5000,13000,11000,01-Feb-20
795,Garlic,500,2000,1300,30-Jan-19
796,Garlic,2000,4000,3000,20-Feb-22
797,Garlic,8000,9000,8500,12-Dec-16
798,Garlic,1000,2400,2100,13-Jun-18
799,Garlic,700,2000,1700,07-Oct-18
800,Garlic,600,2000,1300,20-Dec-18
801,Garlic,1500,2500,2000,07-Feb-14
802,Garlic,1500,4500,3800,12-Sep-14
803,Garlic,2500,6500,4300,05-Apr-22
804,Garlic,5000,8500,8000,25-Oct-16
805,Garlic,2000,5000,4600,10-Jun-17
806,Garlic,4500,6500,5500,11-Jun-20
807,Garlic,5000,8000,7500,06-Aug-16
808,Garlic,4000,7000,6000,08-May-20
809,Garlic,3200,4800,4000,09-Jun-22
810,Garlic,6500,9000,8500,25-Feb-17
811,Garlic,500,1800,1200,21-Feb-19
812,Garlic,3000,6000,4000,20-Aug-15
813,Garlic,2000,5000,3500,27-Jun-22
814,Garlic,2500,5000,4200,22-Apr-17
815,Garlic,1500,4000,2800,13-Jan-23
816,Garlic,2200,5000,3600,20-Jun-22
817,Garlic,1000,2600,2300,07-Jul-18
818,Garlic,8000,10000,9000,06-Jan-17
819,Garlic,2800,6000,4400,19-Apr-22
820,Garlic,4000,9000,7500,23-Jul-16
821,Garlic,1000,3000,2200,01-Aug-18
822,Garlic,7000,14000,11000,29-Nov-23
823,Garlic,1000,4000,2800,14-Dec-22
824,Garlic,1000,3000,2400,02-Aug-18
825,Garlic,1500,4500,3000,28-Jan-23
826,Garlic,500,2000,1300,16-Jan-19
827,Garlic,3500,6500,5000,06-Sep-21
828,Garlic,7000,16000,12000,08-Jul-24
829,Garlic,1200,4000,2600,13-Dec-22
830,Garlic,1500,4500,3500,27-Aug-17
831,Garlic,1500,5500,4600,30-Oct-17
832,Garlic,4000,8000,6000,15-Feb-21
833,Garlic,1500,3500,3000,05-Aug-17
834,Garlic,1200,3500,2600,17-Dec-14
835,Garlic,5000,13000,9500,24-Jan-20
836,Garlic,3000,5000,4500,07-May-16
837,Garlic,4000,8000,6500,26-Jun-16
838,Garlic,3000,6000,4500,10-Jan-22
839,Garlic,3000,5000,4200,26-Mar-17
840,Garlic,4500,7000,6000,23-May-20
841,Garlic,2800,6200,4800,26-Jun-23
842,Garlic,800,2000,1600,24-Nov-18
843,Garlic,2500,6000,4500,24-Jun-19
844,Garlic,2500,5500,4500,14-Apr-16
845,Garlic,1500,5500,4600,27-Oct-17
846,Garlic,4000,6500,5300,03-Jul-20
847,Garlic,5000,7000,6500,08-Jan-16
848,Garlic,6500,15500,11500,14-Jul-24
849,Garlic,1500,4000,2600,29-Jul-14
850,Garlic,8000,10000,9000,20-Dec-16
851,Garlic,6000,9000,7500,16-Apr-20
852,Garlic,2000,4000,3500,06-Jan-14
853,Garlic,8000,14000,12000,17-Oct-23
854,Garlic,7000,14000,11500,09-Jun-24
855,Garlic,5500,7500,6500,30-Jan-16
856,Garlic,1600,4000,2800,18-Jul-22
857,Garlic,1400,4000,2700,20-Jan-23
858,Garlic,6500,14500,11000,02-May-24
859,Garlic,1200,3000,2400,18-Dec-14
860,Garlic,3000,6000,4500,14-Jun-19
861,Garlic,5000,9000,7000,08-Aug-20
862,Garlic,5000,9000,7000,14-Aug-20
863,Garlic,3000,6000,4500,02-Apr-23
864,Garlic,1800,4000,2900,27-Feb-22
865,Garlic,5000,8000,7500,29-Sep-16
866,Garlic,1500,5000,4000,09-Nov-17
867,Garlic,900,2600,1800,16-Oct-22
868,Garlic,5000,12400,8700,12-Apr-24
869,Garlic,1500,3000,2500,15-Jun-14
870,Garlic,3000,5000,4500,15-Apr-16
871,Garlic,5000,11000,9000,06-Nov-20
872,Garlic,2000,5000,4500,20-Mar-17
873,Garlic,6000,14000,10000,21-Nov-23
874,Garlic,1000,3000,2600,04-Apr-19
875,Garlic,1400,3800,2600,16-Jan-23
876,Garlic,800,2400,1600,19-Feb-23
877,Garlic,6000,14000,12000,06-Jan-24
878,Garlic,1600,4000,3000,23-Mar-15
879,Garlic,1800,5200,4300,12-Jun-15
880,Garlic,5000,8000,7500,04-Aug-16
881,Garlic,5000,10000,7500,06-Mar-24
882,Garlic,1000,2800,2200,23-Feb-14
883,Garlic,8000,12000,10000,20-Jan-17
884,Garlic,3000,6000,4500,13-Mar-21
885,Garlic,3000,4500,3500,11-May-16
886,Garlic,3000,6000,4500,27-Apr-22
887,Garlic,1000,3000,2000,04-Feb-23
888,Garlic,7000,14000,11000,13-Dec-23
889,Garlic,1500,4500,3400,25-Jun-15
890,Garlic,2000,5000,4500,26-Jul-17
891,Garlic,1200,3500,2600,30-Oct-14
892,Garlic,2800,5800,4300,16-Apr-21
893,Garlic,7000,16000,12000,24-Jan-24
894,Garlic,3000,6000,4500,19-Apr-23
895,Garlic,2800,6200,4500,09-Mar-21
896,Garlic,1500,4500,3200,04-Jul-15
897,Garlic,5000,8500,8000,19-Nov-16
898,Garlic,1500,5000,4500,11-Nov-17
899,Garlic,3000,6000,4500,24-Mar-23
900,Garlic,1800,2300,2100,24-Apr-14
901,Garlic,4000,7000,6500,11-Sep-15
902,Garlic,2000,4500,4200,17-Mar-18
903,Garlic,1500,5000,4200,11-Jun-15
904,Garlic,3200,6000,4600,15-Mar-21
905,Garlic,3600,6800,5200,28-Nov-21
906,Garlic,700,2000,1450,26-Apr-17
907,Garlic,5000,10000,8500,14-Feb-20
908,Garlic,1000,4200,2600,07-Dec-22
909,Garlic,4000,6500,5300,08-Jul-20
910,Garlic,500,1800,1500,10-Jan-19
911,Garlic,4000,5000,4500,26-Mar-16
912,Garlic,7000,9000,7200,17-Apr-20
913,Garlic,2000,5000,4200,17-Jul-15
914,Garlic,4000,6500,5300,20-May-20
915,Garlic,3000,6500,4800,04-Jul-19
916,Garlic,3000,7000,5000,22-Feb-21
917,Garlic,3000,6000,4500,25-Jun-23
918,Garlic,8000,15000,12000,27-Jan-24
919,Garlic,1500,4000,3600,31-Dec-17
920,Garlic,3000,7000,5200,03-May-19
921,Garlic,1800,5000,3400,22-May-22
922,Garlic,4000,6000,5500,14-Feb-16
923,Garlic,6000,15000,10500,19-Jul-23
924,Garlic,4000,7000,5500,10-Feb-21
925,Garlic,3500,6500,5000,09-Nov-21
926,Garlic,2000,4500,3500,24-Feb-15
927,Garlic,1000,4000,2600,02-Oct-17
928,Garlic,3500,6000,5000,08-Mar-20
929,Garlic,2500,5000,4400,03-Apr-18
930,Garlic,1000,3500,2500,27-Nov-22
931,Garlic,1000,2800,1600,12-Feb-23
932,Garlic,1200,3000,2200,27-Nov-14
933,Garlic,1500,4000,2800,18-Oct-14
934,Garlic,3000,5000,4000,21-Feb-16
935,Garlic,1500,4500,3500,14-Dec-17
936,Garlic,1200,3000,2400,25-Nov-14
937,Garlic,4000,10000,7000,18-Sep-20
938,Garlic,2000,5000,3500,21-May-22
939,Garlic,2200,4800,3500,03-Jul-22
940,Garlic,1500,5500,4400,01-Nov-17
941,Garlic,4000,6000,5500,07-Oct-15
942,Garlic,2500,5000,4000,08-Apr-18
943,Garlic,2400,4800,3600,11-May-22
944,Garlic,4000,9000,8000,23-Feb-20
945,Garlic,10000,12000,11000,22-Jan-17
946,Garlic,2000,4000,3800,16-Jul-17
947,Garlic,4000,7000,6000,28-May-16
948,Garlic,8000,10000,9000,08-Jan-17
949,Garlic,2000,5000,3500,17-May-22
950,Garlic,1000,4000,3000,30-Sep-17
951,Garlic,4500,7000,5750,25-Jul-20
952,Garlic,3000,6000,4500,19-Aug-21
953,Garlic,1200,3000,2400,02-Dec-14
954,Garlic,1000,2400,1800,30-Jun-18
955,Garlic,1500,4500,3500,13-Sep-14
956,Garlic,800,1800,1500,12-Sep-18
957,Garlic,700,2000,1600,23-Oct-18
958,Garlic,700,2000,1600,05-Oct-18
959,Garlic,1000,3000,2200,10-Aug-18
960,Garlic,500,1600,1200,23-Mar-19
961,Garlic,4200,6800,5600,11-May-20
962,Garlic,4000,8000,6000,27-Apr-20
963,Garlic,1500,4500,3200,11-Mar-15
964,Garlic,4800,11000,7900,23-Nov-20
965,Garlic,1500,2500,2000,25-Jan-14
966,Garlic,3000,5000,4000,06-Feb-16
967,Garlic,4000,10000,7000,15-Oct-20
968,Garlic,1500,3500,2600,17-Jul-14
969,Garlic,4500,9500,7000,30-Mar-24
970,Garlic,4000,10000,7000,26-Dec-20
971,Garlic,800,3200,2200,24-Nov-22
972,Garlic,8000,14000,11500,08-Oct-23
973,Garlic,2000,4200,3100,23-Feb-22
974,Garlic,3000,5500,4200,15-Aug-15
975,Garlic,4500,10000,7250,14-Oct-20
976,Garlic,1000,2400,2000,19-Feb-14
977,Garlic,1000,2400,2100,04-Jun-18
978,Garlic,3000,6500,4800,03-Jun-19
979,Garlic,4000,9500,6750,26-Oct-20
980,Garlic,4200,6000,5100,30-Jun-20
981,Garlic,3000,7000,5000,30-Jul-19
982,Garlic,4500,10000,7300,18-Aug-20
983,Garlic,3000,6000,4500,19-Mar-22
984,Garlic,4000,9000,6500,23-Aug-20
985,Garlic,1200,2400,1800,16-Mar-14
986,Garlic,0,0,2500,11-Jun-14
987,Garlic,5000,7500,7000,03-Nov-16
988,Garlic,2500,5000,3500,16-Aug-14
989,Garlic,3000,5000,4900,12-Apr-16
990,Garlic,1000,3000,2000,09-Aug-18
991,Garlic,700,2500,2200,02-Apr-19
992,Garlic,2500,5500,4000,25-Apr-17
993,Garlic,1500,2200,1900,29-Apr-14
994,Garlic,800,2600,1700,06-Nov-22
995,Garlic,1500,4000,3000,28-Oct-14
996,Garlic,5000,7000,6500,28-Jan-16
997,Garlic,1500,4500,3700,15-Oct-14
998,Garlic,3000,6000,4800,06-May-23
999,Garlic,4000,7000,6500,09-Jan-16
1000,Garlic,2400,4500,3500,09-May-22
1001,Garlic,1200,2700,2400,08-Jul-18
1002,Garlic,1000,2600,2200,26-Feb-14
1003,Garlic,2500,5000,4000,27-Apr-17
1004,Garlic,2500,5000,4000,12-Apr-18
1005,Garlic,3000,4500,4100,05-Mar-16
1006,Garlic,1800,4000,3200,18-Mar-15
1007,Garlic,700,2000,1600,20-Oct-18
1008,Garlic,1000,4000,2800,01-Oct-17
1009,Garlic,8000,16000,12000,17-Jan-24
1010,Garlic,1000,2500,2200,07-May-18
1011,Garlic,4000,7000,6500,07-Jun-16
1012,Garlic,5000,8000,7500,03-Aug-16
1013,Garlic,3000,4000,3800,04-May-16
1014,Garlic,4000,7500,5800,16-May-20
1015,Garlic,6000,12500,9500,18-Jan-20
1016,Garlic,2000,4500,3600,25-Feb-15
1017,Garlic,2000,5000,3500,28-May-22
1018,Garlic,1400,4500,2950,29-Jan-23
1019,Garlic,2500,5000,4200,07-Apr-18
1020,Garlic,1500,3500,2800,01-Sep-17
1021,Garlic,1500,2500,2200,29-Jan-14
1022,Garlic,5000,9000,8000,02-Oct-16
1023,Garlic,1500,4500,3600,12-Dec-17
1024,Garlic,1800,4500,3800,02-Aug-17
1025,Garlic,1500,2200,2000,13-Apr-14
1026,Garlic,1500,4500,3800,26-Sep-14
1027,Garlic,8000,10000,9000,14-Dec-16
1028,Garlic,5000,13000,10000,29-Jun-24
1029,Garlic,1600,4500,3200,26-Mar-15
1030,Garlic,5000,7500,6500,22-Sep-16
1031,Garlic,1500,4500,3000,04-Dec-17
1032,Garlic,500,2000,1400,13-Feb-19
1033,Garlic,4000,8000,6500,31-May-16
1034,Garlic,3500,6500,5000,13-Aug-21
1035,Garlic,2000,4500,4000,18-Mar-18
1036,Garlic,700,1800,1500,04-Jan-19
1037,Garlic,2200,5000,3600,22-Jun-22
1038,Garlic,1700,2500,2000,23-Jan-14
1039,Garlic,3000,7000,5000,05-Jul-23
1040,Garlic,1000,2800,2100,14-Aug-18
1041,Garlic,4500,9500,7000,20-Jan-21
1042,Garlic,5500,12500,9000,27-Jun-24
1043,Garlic,500,2000,1500,10-Feb-19
1044,Garlic,1600,4000,3000,25-Mar-15
1045,Garlic,500,2400,1600,16-Mar-19
1046,Garlic,3000,6000,4500,27-Jun-19
1047,Garlic,800,3200,2200,14-Nov-22
1048,Garlic,3000,6000,4500,17-Aug-21
1049,Garlic,1200,3000,2100,10-Aug-22
1050,Garlic,5000,9000,8500,20-Oct-16
1051,Garlic,600,1800,1500,29-Sep-18
1052,Garlic,1000,3000,2500,03-Apr-19
1053,Garlic,700,2200,1500,18-Nov-18
1054,Garlic,700,2000,1500,04-Dec-18
1055,Garlic,1500,4500,3800,19-Sep-14
1056,Garlic,1000,3000,2000,29-Aug-18
1057,Garlic,5000,9000,7000,06-Dec-16
1058,Garlic,1000,3800,3000,17-Oct-17
1059,Garlic,4000,8000,6000,14-Feb-21
1060,Garlic,8000,12000,10000,24-Jan-17
1061,Garlic,800,2400,1600,28-Aug-22
1062,Garlic,2500,3000,2800,18-Feb-14
1063,Garlic,600,2200,1500,12-Feb-14
1064,Garlic,3000,6000,4600,01-Jun-19
1065,Garlic,4000,9500,8200,22-Feb-20
1066,Garlic,4500,8000,6250,18-Jan-21
1067,Garlic,1500,4500,3800,01-Dec-17
1068,Garlic,4000,6000,5000,10-Jul-20
1069,Garlic,3000,9000,6000,07-Jul-23
1070,Garlic,4000,6000,5800,20-Nov-15
1071,Garlic,10000,12000,11000,18-Dec-15
1072,Garlic,3000,7000,5000,16-Nov-21
1073,Garlic,700,1800,1400,03-Jan-19
1074,Garlic,2000,5000,4200,11-Jun-17
1075,Garlic,3000,5000,4250,03-Mar-16
1076,Garlic,5000,8000,7500,31-Aug-16
1077,Garlic,1000,2500,2300,18-May-18
1078,Garlic,1500,5500,4400,29-Oct-17
1079,Garlic,2000,4800,3400,29-May-22
1080,Garlic,4000,7000,5600,14-Mar-20
1081,Garlic,4500,7500,6000,21-Jul-20
1082,Garlic,3000,5000,4000,30-Dec-21
1083,Garlic,3000,7000,5200,21-Aug-19
1084,Garlic,2700,6000,4350,06-Mar-21
1085,Garlic,3000,4800,4500,25-Mar-17
1086,Garlic,4500,9000,6750,02-Feb-21
1087,Garlic,3500,6000,4750,27-Oct-21
1088,Garlic,1000,2000,1800,22-Mar-14
1089,Garlic,5500,10000,7750,09-Sep-20
1090,Garlic,4000,8000,7300,20-Jan-16
1091,Garlic,2500,5000,4200,09-Apr-18
1092,Garlic,4500,9500,7000,11-Aug-20
1093,Garlic,2500,4000,3900,26-Apr-16
1094,Garlic,1200,3500,3200,19-Sep-17
1095,Garlic,3000,7000,5000,24-Mar-21
1096,Garlic,2800,6000,4400,26-Apr-22
1097,Garlic,1800,4500,3800,31-Jul-17
1098,Garlic,4000,8000,6000,04-Dec-20
1099,Garlic,1500,3000,2600,15-May-14
1100,Garlic,700,2000,1500,11-Nov-18
1101,Garlic,2000,4800,3400,02-Jun-22
1102,Garlic,2000,4500,3200,28-Jan-15
1103,Garlic,2600,5200,4000,04-Aug-15
1104,Garlic,700,2000,1500,08-Dec-18
1105,Garlic,1200,4000,2600,11-Dec-22
1106,Garlic,3300,4500,3500,14-Aug-14
1107,Garlic,500,2000,1400,26-Dec-18
1108,Garlic,5000,9000,7000,10-Jan-21
1109,Garlic,2000,5000,4600,20-May-17
1110,Garlic,5500,10000,7750,15-Sep-20
1111,Garlic,2500,4500,4200,01-Apr-18
1112,Garlic,5000,9000,7000,10-Aug-20
1113,Garlic,8000,13000,10500,19-Sep-23
1114,Garlic,6000,12000,9000,03-Apr-24
1115,Garlic,500,1800,1200,31-Jan-19
1116,Garlic,14000,26000,20000,07-Feb-24
1117,Garlic,1500,2500,2200,05-Feb-14
1118,Garlic,3000,6000,4500,31-May-19
1119,Garlic,6000,14000,11000,28-Jul-23
1120,Garlic,4500,9000,7000,04-Jun-16
1121,Garlic,1800,4500,4000,03-Aug-17
1122,Garlic,700,2000,1500,21-Dec-18
1123,Garlic,3500,7000,5500,09-Aug-19
1124,Garlic,1200,3000,2600,09-Jan-15
1125,Garlic,1000,3800,3000,15-Oct-17
1126,Garlic,3500,6500,5000,24-Nov-21
1127,Garlic,3000,6000,4500,17-Apr-21
1128,Garlic,1200,3500,3000,18-Sep-17
1129,Garlic,4000,7000,5600,17-Mar-20
1130,Garlic,3500,6500,5000,26-Oct-21
1131,Garlic,1200,4000,2800,09-Dec-22
1132,Garlic,1800,4000,3000,24-Nov-17
1133,Garlic,1500,3500,3000,31-Aug-17
1134,Garlic,4200,6400,5300,22-Jun-20
1135,Garlic,5000,10000,7500,20-Nov-16
1136,Garlic,3500,4500,4100,16-Jun-18
1137,Garlic,3500,7500,5500,15-Sep-21
1138,Garlic,3200,6800,5200,29-Apr-23
1139,Garlic,1000,3200,2200,10-Apr-19
1140,Garlic,2200,4800,3500,26-Jul-22
1141,Garlic,1500,4500,3500,07-Jul-15
1142,Garlic,3000,6000,5000,19-Feb-16
1143,Garlic,1500,4000,2800,24-Jul-14
1144,Garlic,2000,5000,4000,16-Apr-18
1145,Garlic,2000,4500,3600,04-Sep-14
1146,Garlic,1500,2500,2200,09-May-14
1147,Garlic,2500,6000,4300,08-Apr-22
